City	Number of Data Sets	Economy Tag Score	City Government Tag score	Education Tag score	Environment Tag Score	Health Tag score	Transportation Tag score	Infrastructure Tag score	Public Safety Tag score	Recreation Tag score	Median number of downloads	Avg number of downloads	Median number of views	Avg number of views	Avg time since created(days till 4/30/18)	Avg time since updated(days till 4/30/18)				Glove Mean	Rank (with respect to average)	Rank (environment)	Rank (education)	Rank (economy)		
																										"RANK(B2,$B$2:$B$11)"
Oakland	115	0.386512846	0.376990318	0.294216514	0.318962395	0.275020391	0.238657326	0.347688437	0.340310276	0.315553188	260.5	335.57	964.5	1706.47	1171.51	1115.92				0.321545743	4	4	1	4		
																										
San Franscisco	299	0.390737981	0.382652551	0.286761075	0.321962506	0.2621786	0.25140816	0.365589887	0.343214631	0.323759705	1135.5	2406.61	737	3330.99	1152.06	434.47				0.325362788	3	2	3	3		
																										
Menlo Park	13	0.178609073	0.165207729	0.140419081	0.143824801	0.12930721	0.165695414	0.197468638	0.138813943	0.161167368	71.5	162.08	724	2150.42	616.08	438.5				0.157834806	5	5	5	5		
																										
Richmond	13	0	0.010732459	0.079860672	0.06213741	0.14974955	0.009244477	0	0.001160259	0.043960031	145	226.75	3021	2966.91	1052.33	638.67				0.039649429	6	6	6	6		
																										
Santa Rosa	144	0.38828099	0.37374562	0.28668138	0.32979923	0.29703808	0.25146863	0.35318282	0.34109664	0.3136797	238	318.3	89	1527.55	466.7	130.72				0.326108121	2	3	4	2		
																										
Berkeley	25	0.41865271	0.40397203	0.29119977	0.35578498	0.29737705	0.28056651	0.38113877	0.38384897	0.32503405	273.5	71.5	759.5	724	1194.79	806.71				0.348619427	1	1	2	1		
