 ,Link URL,createdAt,rowsUpdatedAt
0,https://data.cityofberkeley.info/api/views/k489-uv4i/rows.json?accessType=DOWNLOAD,1363,1
1,https://data.cityofberkeley.info/api/views/k2nh-s5h5/rows.json?accessType=DOWNLOAD,1132,1
2,https://data.cityofberkeley.info/api/views/xi7q-nji6/rows.json?accessType=DOWNLOAD,809,1
3,https://data.cityofberkeley.info/api/views/7ykt-c32j/rows.json?accessType=DOWNLOAD,809,1
4,https://data.cityofberkeley.info/api/views/6e9j-pj9p/rows.json?accessType=DOWNLOAD,936,333
5,https://data.cityofberkeley.info/api/views/efkp-2py4/rows.json?accessType=DOWNLOAD,685,677
6,https://data.cityofberkeley.info/api/views/rwnf-bu3w/rows.json?accessType=DOWNLOAD,1126,1
7,https://data.cityofberkeley.info/api/views/tscg-detc/rows.json?accessType=DOWNLOAD,1308,1227
8,https://data.cityofberkeley.info/api/views/bnkq-f2ge/rows.json?accessType=DOWNLOAD,1338,1172
9,https://data.cityofberkeley.info/api/views/7a6r-v8mp/rows.json?accessType=DOWNLOAD,1337,1227
10,https://data.cityofberkeley.info/api/views/7m32-z827/rows.json?accessType=DOWNLOAD,1377,1227
11,https://data.cityofberkeley.info/api/views/kw74-4a6x/rows.json?accessType=DOWNLOAD,1377,1227
12,https://data.cityofberkeley.info/api/views/ifen-52iq/rows.json?accessType=DOWNLOAD,1255,1227
13,https://data.cityofberkeley.info/api/views/rphs-8dfw/rows.json?accessType=DOWNLOAD,719,719
14,https://data.cityofberkeley.info/api/views/gy8t-iqc4/rows.json?accessType=DOWNLOAD,1238,594
15,https://data.cityofberkeley.info/api/views/vutm-hns4/rows.json?accessType=DOWNLOAD,1255,1227
16,https://data.cityofberkeley.info/api/views/jfw3-qg7m/rows.json?accessType=DOWNLOAD,1339,1189
17,https://data.cityofberkeley.info/api/views/tapn-qx65/rows.json?accessType=DOWNLOAD,1337,1227
18,https://data.cityofberkeley.info/api/views/axbn-5cun/rows.json?accessType=DOWNLOAD,1328,1227
19,https://data.cityofberkeley.info/api/views/cyim-hufj/rows.json?accessType=DOWNLOAD,1308,1227
20,https://data.cityofberkeley.info/api/views/77ue-wzxv/rows.json?accessType=DOWNLOAD,1339,1227
21,https://data.cityofberkeley.info/api/views/62bx-ehri/rows.json?accessType=DOWNLOAD,1264,1088
22,https://data.cityofberkeley.info/api/views/iuea-7eac/rows.json?accessType=DOWNLOAD,1388,6
23,https://data.cityofberkeley.info/api/views/tp74-azit/rows.json?accessType=DOWNLOAD,1308,1308
24,https://data.cityofberkeley.info/api/views/7nzh-z8uu/rows.json?accessType=DOWNLOAD,1362,1362
