Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time updated(days)
Financial,1366227257,1414703014,City of Oakland Proposed Policy Budget FY2013-15,642,15769,"['budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/City-of-Oakland-Proposed-Policy-Budget-FY2013-15/b8mb-8tti,1426521841,1838,1838
Public Safety,1358971390,1524924060,CrimeWatch Maps Past 90-Days,3658,13527,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7a,1426521839,1922,1
Infrastructure,1366135056,1522413430,Service requests received by the Oakland Call Center,1143,12830,"['public works', 'service requests', 'pot holes', 'illegal dumping', 'maintenance', 'transporation', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Service-requests-received-by-the-Oakland-Call-Cent/quth-gb8e,1491954484,1839,30
Infrastructure,1363734611,1414725798,Service requests received by Public Works,563,7634,"['public works', 'service requests', 'pot holes', 'illegal dumping', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Infrastructure/Service-requests-received-by-Public-Works/j4xf-2t25,1426521840,1867,1867
Environmental,1358885493,1414647713,Oakland Street Trees,686,6888,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Environmental/Oakland-Street-Trees/4jcx-enxf,1426521840,1923,1923
Public Safety,1434559472,1436914768,All license plate reader data (ALPR) 3/19/2014-3/31/2014,365,4596,"['license plate', 'police department', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/All-license-plate-reader-data-ALPR-3-19-2014-3-31-/wy2w-ue82,1436907018,1047,1047
Environmental,1358483748,1414726110,Public Works Volunteer Opportunities,479,3782,"['public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Environmental/Public-Works-Volunteer-Opportunities/sduu-bfki,1426521840,1928,1913
Public Services,1385510573,1414778268,Drainage Inlets,419,3085,"['drain', 'inlet', 'drainage inlets', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Services/Drainage-Inlets/vi6t-i2f3,1385511212,1615,1615
Public Safety,1390344376,1414647003,Crimewatch Data 2013,531,3029,"['crime', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Public-Safety/Crimewatch-Data-2013/4yez-5h4p,1390344898,1559,1559
Financial,1395444862,1414777831,City of Oakland Adopted Policy Budget FY13-15,349,3024,"['financial', 'budget', 'public', 'data', 'statistics', 'dataset']",https://data.oaklandnet.com/Financial/City-of-Oakland-Adopted-Policy-Budget-FY13-15/vmzx-e5fe,1426521847,1500,1500
