Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time updated(days)
Economic Growth,1434564230,1506618808,Property Transfer History,248,6953,"['property', 'transfer', 'history', 'assessor', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Economic-Growth/Property-Transfer-History/uxre-by3i,1439577598,1047,213
Well-Managed Government,1440772117,1521660558,Payment Register: FY16+,474,5571,"['payment', 'check', 'register', 'rapids', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/Payment-Register-FY16-/kede-pxas,1515620441,975,39
Well-Managed Government,1434653032,1506618572,Property Assessments Current,586,4780,"['property', 'assessments', 'assessor', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/Property-Assessments-Current/vm9j-9f88,1444845355,1046,213
Well-Managed Government,1434393559,1438114628,Payment Register - FY15,443,4314,"['payment', 'check', 'register', 'rapids', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/Payment-Register-FY15/i7ew-iztk,1439577189,1049,1006
Unique and Inclusive Neighborhoods,1434475131,1506619586,Parcel Geographic Summary,128,3965,"['parcels', 'geography', 'summary', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Unique-and-Inclusive-Neighborhoods/Parcel-Geographic-Summary/b52i-7ygb,1498744301,1048,213
Well-Managed Government,1434573634,1506619202,Property Assessment History,293,3241,"['property', 'history', 'assessment', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/Property-Assessment-History/8x8u-hwvk,1439577567,1047,213
Well-Managed Government,1441236003,1441238011,SeeClickFix Sample Data Aug 2014 to Aug 2015,162,2801,"['public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/SeeClickFix-Sample-Data-Aug-2014-to-Aug-2015/vgg4-hjn8,1441236848,970,970
Well-Managed Government,1456266893,1500660910,City Budget - General Fund,89,1342,"['public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/City-Budget-General-Fund/7nru-hsrx,1500660822,796,282
Community Safety and Well-Being,1434650778,1440437249,Pedestrian Motor Vehicle Accidents,98,735,"['pedestrian', 'accidents', 'police', 'safety', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Community-Safety-and-Well-Being/Pedestrian-Motor-Vehicle-Accidents/g7mk-nxpb,1439839530,1046,979
Well-Managed Government,1414510124,1414519861,2012 Richmond Community Survey Data,67,708,"['public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/2012-Richmond-Community-Survey-Data/yqhe-4ng4,1414519321,1279,1279
Community Safety and Well-Being,1434561048,1440436294,Bicycle Motor Vehicle Accidents,95,597,"['bicycle', 'accident', 'police', 'public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Community-Safety-and-Well-Being/Bicycle-Motor-Vehicle-Accidents/hcga-86ns,1439839609,1047,979
Well-Managed Government,1414603897,1414616312,RVA Community Survey 2014 Data GEO,38,596,"['public', 'data', 'statistics', 'dataset']",https://data.richmondgov.com/Well-Managed-Government/RVA-Community-Survey-2014-Data-GEO/2imz-upgs,1414615676,1278,1278
