Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Culture and Recreation,1320948813,1509143590,Film Locations in San Francisco,33989,124497,"['film', 'locations', 'movies', 'actors', 'directors', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,1509143512,2362,184
Public Safety,1330116913,1524954284,[Change Notice] Police Department Incidents,40853,115486,"['sfpd', 'crime', 'police department', 'crime reports', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/-Change-Notice-Police-Department-Incidents/tmnf-yvry,1524949444,2256,1
Economy and Community,1389898067,1524894313,Registered Business Locations - San Francisco,20975,96529,"['business', 'business listing', 'business listings', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,1524888009,1564,2
City Infrastructure,1318104077,1524937372,311 Cases,15644,53309,"['311', 'case', 'cases', 'customer service', 'calls', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/311-Cases/vw6y-z8j6,1519689075,2395,1
Health and Social Services,1389123350,1524936774,HSA 90 day emergency shelter waitlist,10782,52415,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/HSA-90-day-emergency-shelter-waitlist/w4sk-nq57,1505062702,1573,1
Geographic Locations and Boundaries,1348532382,1524237124,Street Names,6719,34031,"['street', 'names', 'basemap', 'base', 'map', 'city reference data', 'ref:basemap', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Street-Names/6d9h-4u5v,1524928179,2043,9
Economy and Community,1348529041,1524928515,Mobile Food Facility Permit,49373,17901,"['mobile', 'food', 'permits', 'truck', 'facility', 'mff', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,1524927862,2043,1
Economy and Community,1348528688,1524928520,Mobile Food Schedule,7546,4833,"['mobile', 'food', 'trucks', 'schedule', 'permits', 'facility', 'mff', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/jjew-r69b,1524927882,2043,1
Energy and Environment,1392746411,1516323313,Existing Commercial Buildings Energy Performance Ordinance Report,2488,15509,"['energy', 'building', 'buildings', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/j2j3-acqj,1516322801,1531,101
Public Safety,1450368425,1524913668,Fire Department Calls for Service,6737,14684,"['calls', 'fire', '911', 'medical', 'emergency calls', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/Fire-Department-Calls-for-Service/nuek-vuh3,1524911006,864,1
