Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
311,1407252857,1524915389,311 Cases,1470,12696,"['311', 'customer service', 'cases', 'crm', 'ticket', 'community relation management', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/311/311-Cases/k489-uv4i,1497353754,1363,1
Public Safety,1427234610,1524912282,Berkeley PD - Calls for Service,772,7673,"['crime', 'police', 'incidents', 'reports', 'vandalism', 'theft', 'assault', 'narcotics', 'robbery', 'vehicle', 'alcohol', 'violence', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Calls-for-Service/k2nh-s5h5,1497349842,1132,1
Public Safety,1455122590,1524930704,Berkeley PD Log - Arrests,4461,16658,"['police', 'charges', 'statute', 'arrest', 'agency', 'crime', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Log-Arrests/xi7q-nji6,1515799907,809,1
Public Safety,1455137981,1524930011,Berkeley PD Log - Jail Bookings,547,7128,"['police', 'jail', 'booking', 'charges', 'statute', 'arrest', 'agency', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Log-Jail-Bookings/7ykt-c32j,1508710583,809,1
Public Safety,1444171604,1496270706,Berkeley PD - Stop Data,499,4266,"['police', 'stop data', 'traffic', 'pedestrian', 'vehicle', 'bike', 'race', 'gender', 'age', 'reason', 'enforcement', 'search', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-Stop-Data/6e9j-pj9p,1496269828,936,333
Public Safety,1465847473,1496710515,Berkeley PD UCR - Annual Part I Crimes,110,393,"['crime', 'ucr', 'criminal justice', 'police records', 'crime data', 'police', 'law enforcement', 'statistics', 'public', 'data', 'dataset']",https://data.cityofberkeley.info/Public-Safety/Berkeley-PD-UCR-Annual-Part-I-Crimes/efkp-2py4,1496710449,685,677
Business,1427748743,1524912390,Business Licenses,1081,5948,"['business licenses', 'registered businesses', 'active licenses', 'active businesses', 'renewed licenses', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Business/Business-Licenses/rwnf-bu3w,1501601405,1126,1
Transportation,1412030663,1421954730,Car Share Totals,295,589,"['carsharing', 'city carshare', 'zipcar', 'pods', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Transportation/Car-Share-Totals/tscg-detc,1421954599,1308,1227
Demographics,1409435163,1441324898,Census Data 2000 And 2010,245,483,"['census', 'population', 'housing', 'race', 'age', 'transportation', 'occupation', 'education', 'income', 'citizenship', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Demographics/Census-Data-2000-And-2010/bnkq-f2ge,1441313910,1338,1172
Demographics,1409513946,1441324876,"Census, Housing, 2012 American Community Survey",221,394,"['census', 'housing', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Demographics/Census-Housing-2012-American-Community-Survey/7a6r-v8mp,1441313908,1337,1227
Economic Data,1406069422,1419012047,City of Berkeley Employee Salaries - 2011,270,799,"['employee salaries', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Economic-Data/City-of-Berkeley-Employee-Salaries-2011/7m32-z827,1462900385,1377,1227
Economic Data,1406068584,1419011709,City of Berkeley Employee Salaries - 2012,253,720,"['employee salaries', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Economic-Data/City-of-Berkeley-Employee-Salaries-2012/kw74-4a6x,1462900424,1377,1227
Economic Data,1416599527,1419021815,City of Berkeley Employee Salaries - 2013,324,1098,"['employee salaries', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Economic-Data/City-of-Berkeley-Employee-Salaries-2013/ifen-52iq,1462900320,1255,1227
Economic Data,1462898642,1462905423,City of Berkeley Employee Salaries - 2014,296,509,"['employee salaries', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Economic-Data/City-of-Berkeley-Employee-Salaries-2014/rphs-8dfw,1462900186,719,719
Budget,1418071195,1473726224,City of Berkeley: Operating Budget,255,1762,"['fy12', 'fy13', 'fy14', 'fy15', 'budget', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Budget/City-of-Berkeley-Operating-Budget/gy8t-iqc4,1473726214,1238,594
Economic Data,1416599264,1419965651,"City of Berkeley Salaries - 2011, 2012 and 2013",275,1601,"['employee salaries', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Economic-Data/City-of-Berkeley-Salaries-2011-2012-and-2013/vutm-hns4,1462900354,1255,1227
Natural Resources,1409353576,1422299688,Community Energy,268,545,"['electricity', 'natural gas', 'energy', 'public', 'data', 'statistics', 'dataset']",https://data.cityofberkeley.info/Natural-Resources/Community-Energy/jfw3-qg7m,1422299475,1339,1189
