Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Police,1487127752,1524898419,Santa Rosa Police Arrest Log,3592,12096,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Police-Arrest-Log/enuh-nnva,1524898214,439,2
Police,1447719497,1524924106,Santa Rosa Police Department Incidents,809,8397,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Police-Department-Incidents/2z9e-u7ky,1524923709,895,1
Public Safety,1432073995,1524818512,Sonoma County Sheriff's Office Incident Data,974,47369,"['incidents', 'crime', 'reports', 'sheriff', 'windsor', 'sonoma', 'police', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Public-Safety/Sonoma-County-Sheriff-s-Office-Incident-Data/3rsj-iche,1464818035,1076,2
Police,1447718131,1524922990,Santa Rosa Police Department Calls For Service,1461,4372,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Police-Department-Calls-For-Service/vagc-esxy,1524922216,895,1
Public Safety,1431556666,1524821682,Sonoma County Sheriff's Office Event Data,638,30200,"['events', 'activities', 'dispatch', 'calls', 'stops', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Public-Safety/Sonoma-County-Sheriff-s-Office-Event-Data/bpq8-s7gr,1433321376,1082,2
Development,1454387065,1522856140,Building Permits Since 2015-01-01,2181,2154,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/Building-Permits-Since-2015-01-01/fpj8-e7vu,1522855953,818,25
Housing,1455168648,1522855317,Enforcement Cases,815,1705,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Housing/Enforcement-Cases/vvka-2nem,1522855278,809,25
Government,1459962923,1522762397,Information Systems Department Metrics,131,12041,"['metrics', 'performance', 'information systems', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Information-Systems-Department-Metrics/iypn-it32,1496496639,753,26
Health,1411712078,1524892288,Food Facility Inspections,757,9486,"['food', 'restaurant', 'inspection', 'health', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Health/Food-Facility-Inspections/8r44-w5qd,1488999242,1312,1
Fire,1456927570,1456937479,Fire Department Annual Inspections,503,1138,"['inspection', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Fire/Fire-Department-Annual-Inspections/cmjg-efs2,1456936776,788,788
Government,1407944609,1455137827,Operating Expense Budget Fiscal Year 2014-2015,317,7157,"['budget', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Operating-Expense-Budget-Fiscal-Year-2014-2015/8nsx-2m6i,1455130771,1355,1014
Government,1460736617,1523316317,Information Systems Department Satisfaction Survey Results,140,5573,"['performance metrics', 'information systems', 'helpdesk', 'service desk', 'satisfaction survey', 'hdi', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Information-Systems-Department-Satisfaction-Survey/7fbs-jw2h,1523316304,744,20
Government,1474561468,1524143071,Salary Steps by Job Classification,145,5473,"['job classification', 'salary steps', 'job class', 'unit designation', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Salary-Steps-by-Job-Classification/t7x3-ntip,1497358811,584,10
Fun,1423496869,1524620294,Sonoma County Baby Names,312,5001,"['baby', 'name', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Fun/Sonoma-County-Baby-Names/4ecf-2vnd,1524620255,1175,5
Government,1464734558,1499808373,Software Application Portfolio (SB272),300,3688,"['sb272', 'portfolio', 'software', 'application', 'applications', 'aps', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Software-Application-Portfolio-SB272-/4juh-m9jm,1499808291,698,292
